State,1970
Alabama,3444165
Alaska,300382
Arizona,1770900
Arkansas,1923295
California,19953134
Colorado,2207259
Connecticut,3031709
Delaware,548104
Florida,6789443
Georgia,4589575
Hawaii,768561
Idaho,712567
Illinois,11113976
Indiana,5193669
Iowa,2824376
Kansas,2246578
Kentucky,3218706
Louisiana,3641306
Maine,992048
Maryland,3922399
Massachusetts,5689170
Michigan,8875083
Minnesota,3804971
Mississippi,2216912
Missouri,4676501
Montana,694409
Nebraska,1483493
Nevada,488738
New Hampshire,737681
New Jersey,7168164
New Mexico,1016000
New York,18236967
North Carolina,5082059
North Dakota,617761
Ohio,10652017
Oklahoma,2559229
Oregon,2091385
Pennsylvania,11793909
Rhode Island,946725
South Carolina,2590516
South Dakota,665507
Tennessee,3923687
Texas,11196730
Utah,1059273
Vermont,444330
Virginia,4648494
Washington,3409169
West Virginia,1744237
Wisconsin,4417731
Wyoming,332416
