state,pop_total
Alabama,2832961
Arizona,499261
Arkansas,1949387
California,6907387
Colorado,1123296
Connecticut,1709242
Delaware,266505
Florida,1897414
Georgia,3123723
Idaho,524873
Illinois,7897241
Indiana,3427796
Iowa,2538268
Kansas,1801028
Kentucky,2845627
Louisiana,2363516
Maine,847226
Maryland,1821244
Massachusetts,4316721
Michigan,5256106
Minnesota,2792300
Mississippi,2183796
Missouri,3784664
Montana,559456
Nebraska,1315834
Nevada,110247
New Hampshire,491524
New Jersey,4160165
New Mexico,531818
New York,13479142
North Carolina,3571623
North Dakota,641935
Ohio,6907612
Oklahoma,2336434
Oregon,1089684
Pennsylvania,9900180
Rhode Island,713346
South Carolina,1899804
South Dakota,642961
Tennessee,2915841
Texas,6414824
Utah,550310
Vermont,359231
Virginia,2677773
Washington,1736191
West Virginia,1901974
Wisconsin,3137587
Wyoming,250742
