entity,apportionment_435
Alabama,9
Arizona,2
Arkansas,7
California,23
Colorado,4
Connecticut,6
Delaware,1
Florida,6
Georgia,10
Idaho,2
Illinois,26
Indiana,11
Iowa,8
Kansas,6
Kentucky,9
Louisiana,8
Maine,3
Maryland,6
Massachusetts,14
Michigan,17
Minnesota,9
Mississippi,7
Missouri,13
Montana,2
Nebraska,4
Nevada,1
New Hampshire,2
New Jersey,14
New Mexico,2
New York,45
North Carolina,12
North Dakota,2
Ohio,23
Oklahoma,8
Oregon,4
Pennsylvania,33
Rhode Island,2
South Carolina,6
South Dakota,2
Tennessee,10
Texas,21
Utah,2
Vermont,1
Virginia,9
Washington,6
West Virginia,6
Wisconsin,10
Wyoming,1
