306		NY		21		927348
307		IL		14		922043
308		ID		2		917311
309		FL		18		916311
310		UT		3		913135
311		PA		14		911786
312		WA		7		911730
313		OH		13		910692
314		KY		5		905480
315		CA		38		904902
316		ME		2		903492
317		SC		5		900031
318		MN		6		899300
319		TX		24		889733
320		NJ		10		888005
321		NY		22		884191
322		CA		39		881394
323		TN		7		879535
324		NH		2		875692
325		FL		19		866743
326		MI		12		866544
327		GA		10		865091
328		MO		7		865065
329		HI		2		860296
330		CA		40		859076
331		IL		15		858375
332		TX		25		853402
333		NC		10		850407
334		MA		8		849298
335		PA		15		848827
336		IA		4		846373
337		NY		23		844874
338		OH		14		843137
339		CA		41		837861
340		VA		9		836826
341		WI		7		828796
342		MS		4		823569
343		FL		20		822265
344		TX		26		819922
345		MD		7		819025
346		LA		6		817982
347		CA		42		817669
348		NV		3		817326
349		AL		6		814487
350		IN		8		813915
351		NY		24		808905
352		NJ		11		803231
353		IL		16		802937
354		CA		43		798427
355		MI		13		797104
356		PA		16		794005
357		AZ		7		793225
358		WA		8		789581
359		TX		27		788970
360		CO		6		787238
361		OH		15		784918
362		GA		11		782504
363		FL		21		782130
364		CA		44		780070
365		KS		4		777640
366		NY		25		775875
367		AR		4		773572
368		OK		5		773415
369		NC		11		769222
370		OR		5		766646
371		CA		45		762538
372		CT		5		762395
373		TN		8		761699
374		TX		28		760271
375		MN		7		760047
376		IL		17		754228
377		MO		8		749168
378		MA		9		749011
379		VA		10		748480
380		PA		17		745838
381		CA		46		745777
382		FL		22		745731
383		NY		26		745436
384		NM		3		744572
385		RI		2		742223
386		WV		3		740186
387		KY		6		739322
388		MI		14		737975
389		SC		6		734872
390		OH		16		734223
391		TX		29		733586
392		NJ		12		733246
393		CA		47		729737
394		IN		9		717806
395		WI		8		717758
396		NY		27		717296
397		CA		48		714372
398		GA		12		714325
399		FL		23		712571
400		IL		18		711093
401		MD		8		709296
402		TX		30		708712
403		PA		18		703183
404		NC		12		702201
405		NE		3		700296
406		CA		49		699641
407		WA		9		696345
408		LA		7		691321
409		NY		28		691204
410		OH		17		689683
411		AL		7		688367
412		MI		15		687017
