entity,apportionment_435
Alabama,9
Arizona,2
Arkansas,6
California,30
Colorado,4
Connecticut,6
Delaware,1
Florida,8
Georgia,10
Idaho,2
Illinois,25
Indiana,11
Iowa,8
Kansas,6
Kentucky,8
Louisiana,8
Maine,3
Maryland,7
Massachusetts,14
Michigan,18
Minnesota,9
Mississippi,6
Missouri,11
Montana,2
Nebraska,4
Nevada,1
New Hampshire,2
New Jersey,14
New Mexico,2
New York,43
North Carolina,12
North Dakota,2
Ohio,23
Oklahoma,6
Oregon,4
Pennsylvania,30
Rhode Island,2
South Carolina,6
South Dakota,2
Tennessee,9
Texas,22
Utah,2
Vermont,1
Virginia,10
Washington,7
West Virginia,6
Wisconsin,10
Wyoming,1
