state,pop_resident,pop_overseas,pop_total
Alabama,3444165,31720,3475885
Alaska,300382,3685,304067
Arizona,1745944,41676,1787620
Arkansas,1923295,19008,1942303
California,19953134,145729,20098863
Colorado,2207259,19512,2226771
Connecticut,3031709,18984,3050693
Delaware,548104,3824,551928
Florida,6789443,66259,6855702
Georgia,4589575,37731,4627306
Hawaii,769913,14988,784901
Idaho,712567,7354,719921
Illinois,11113976,70344,11184320
Indiana,5193669,34487,5228156
Iowa,2824376,22544,2846920
Kansas,2246578,19268,2265846
Kentucky,3218706,27775,3246481
Louisiana,3641306,30702,3672008
Maine,992048,14272,1006320
Maryland,3922399,31299,3953698
Massachusetts,5689170,37506,5726676
Michigan,8875083,62113,8937196
Minnesota,3804971,28202,3833173
Mississippi,2216912,16936,2233848
Missouri,4676501,41533,4718034
Montana,694409,7164,701573
Nebraska,1483493,13327,1496820
Nevada,488738,3658,492396
New Hampshire,737681,8603,746284
New Jersey,7168164,39871,7208035
New Mexico,1017055,9609,1026664
New York,18236967,101088,18338055
North Carolina,5082059,43171,5125230
North Dakota,617761,6420,624181
Ohio,10652017,78183,10730200
Oklahoma,2559229,26257,2585486
Oregon,2091533,19277,2110810
Pennsylvania,11793909,90405,11884314
Rhode Island,946725,11073,957798
South Carolina,2590516,26804,2617320
South Dakota,665507,7740,673247
Tennessee,3923687,37373,3961060
Texas,11196730,102057,11298787
Utah,1059273,8537,1067810
Vermont,444330,3997,448327
Virginia,4648494,42248,4690742
Washington,3409169,34318,3443487
West Virginia,1744237,19094,1763331
Wisconsin,4417731,29282,4447013
Wyoming,332416,3303,335719
