house_seat,state,state_seat,priority_value
199,Pennsylvania,9,1449648
200,California,24,1444191
201,Texas,15,1442513
202,Minnesota,4,1421918
203,Massachusetts,5,1421148
204,Nevada,2,1415650
205,Oklahoma,3,1412057
206,New York,14,1408742
207,Oregon,3,1399697
208,Florida,12,1395136
209,Connecticut,3,1391937
210,California,25,1385219
211,Indiana,5,1361940
212,Texas,16,1349347
213,Ohio,9,1340502
214,California,26,1330875
215,Michigan,8,1330404
216,Washington,5,1321222
217,New York,15,1311468
218,Illinois,10,1311190
219,New Jersey,7,1299906
220,Pennsylvania,10,1296604
221,Virginia,6,1296405
222,Louisiana,4,1293343
223,New Mexico,2,1289636
224,Alabama,4,1287817
225,Florida,13,1283338
226,West Virginia,2,1282039
227,California,27,1280635
228,Tennessee,5,1274567
229,Texas,17,1267491
230,Georgia,7,1266364
231,Missouri,5,1253598
232,North Carolina,7,1244869
233,Colorado,4,1244733
234,California,28,1234051
235,New York,16,1226766
236,Nebraska,2,1212949
237,Wisconsin,5,1201039
238,Ohio,10,1198982
239,Iowa,3,1196953
240,Texas,18,1195002
241,California,29,1190738
242,Florida,14,1188140
243,Maryland,5,1186879
244,Illinois,11,1186016
245,Michigan,9,1173306
246,Pennsylvania,11,1172823
247,Kentucky,4,1168970
248,Mississippi,3,1164703
249,South Carolina,4,1161935
250,Massachusetts,6,1160363
251,New York,17,1152346
252,California,30,1150362
253,Arizona,5,1149492
254,Texas,19,1130359
255,New Jersey,8,1125752
256,California,31,1112635
257,Indiana,6,1112020
258,Florida,15,1106098
259,Minnesota,5,1101413
260,Kansas,3,1099749
261,Georgia,8,1096703
262,Virginia,7,1095662
263,Arkansas,3,1093996
264,New York,18,1086442
265,Ohio,11,1084520
266,Illinois,12,1082680
267,Washington,6,1078773
268,North Carolina,8,1078088
269,California,32,1077304
270,Texas,20,1072352
271,Pennsylvania,12,1070636
272,Michigan,10,1049437
273,California,33,1044148
274,Tennessee,6,1040680
275,Florida,16,1034660
276,New York,19,1027671
277,Missouri,6,1023558
278,Texas,21,1020010
279,California,34,1012972
280,Louisiana,5,1001819
281,Oklahoma,4,998475
282,Alabama,5,997539
283,Illinois,13,995920
284,New Jersey,9,992820
285,Ohio,12,990027
286,Oregon,4,989735
287,Pennsylvania,13,984842
288,Connecticut,4,984248
289,California,35,983605
290,Massachusetts,7,980685
291,Wisconsin,6,980644
292,New York,20,974935
293,Texas,22,972542
294,Florida,17,971894
295,Maryland,6,969083
296,Georgia,9,967201
297,Colorado,5,964166
298,California,36,955892
299,North Carolina,9,950784
300,Michigan,11,949251
301,Virginia,8,948871
302,Indiana,7,939828
303,Arizona,6,938556
304,California,37,929698
305,Texas,23,929296
306,New York,21,927348
307,Illinois,14,922043
308,Idaho,2,917311
309,Florida,18,916311
310,Utah,3,913135
311,Pennsylvania,14,911786
312,Washington,7,911730
313,Ohio,13,910692
314,Kentucky,5,905480
315,California,38,904902
316,Maine,2,903492
317,South Carolina,5,900031
318,Minnesota,6,899300
319,Texas,24,889733
320,New Jersey,10,888005
321,New York,22,884191
322,California,39,881394
323,Tennessee,7,879535
324,New Hampshire,2,875692
325,Florida,19,866743
326,Michigan,12,866544
327,Georgia,10,865091
328,Missouri,7,865065
329,Hawaii,2,860296
330,California,40,859076
331,Illinois,15,858375
332,Texas,25,853402
333,North Carolina,10,850407
334,Massachusetts,8,849298
335,Pennsylvania,15,848827
336,Iowa,4,846373
337,New York,23,844874
338,Ohio,14,843137
339,California,41,837861
340,Virginia,9,836826
341,Wisconsin,7,828796
342,Mississippi,4,823569
343,Florida,20,822265
344,Texas,26,819922
345,Maryland,7,819025
346,Louisiana,6,817982
347,California,42,817669
348,Nevada,3,817326
349,Alabama,6,814487
350,Indiana,8,813915
351,New York,24,808905
352,New Jersey,11,803231
353,Illinois,16,802937
354,California,43,798427
355,Michigan,13,797104
356,Pennsylvania,16,794005
357,Arizona,7,793225
358,Washington,8,789581
359,Texas,27,788970
360,Colorado,6,787238
361,Ohio,15,784918
362,Georgia,11,782504
363,Florida,21,782130
364,California,44,780070
365,Kansas,4,777640
366,New York,25,775875
367,Arkansas,4,773572
368,Oklahoma,5,773415
369,North Carolina,11,769222
370,Oregon,5,766646
371,California,45,762538
372,Connecticut,5,762395
373,Tennessee,8,761699
374,Texas,28,760271
375,Minnesota,7,760047
376,Illinois,17,754228
377,Missouri,8,749168
378,Massachusetts,9,749011
379,Virginia,10,748480
380,Pennsylvania,17,745838
381,California,46,745777
382,Florida,22,745731
383,New York,26,745436
384,New Mexico,3,744572
385,Rhode Island,2,742223
386,West Virginia,3,740186
387,Kentucky,6,739322
388,Michigan,14,737975
389,South Carolina,6,734872
390,Ohio,16,734223
391,Texas,29,733586
392,New Jersey,12,733246
393,California,47,729737
394,Indiana,9,717806
395,Wisconsin,8,717758
396,New York,27,717296
397,California,48,714372
398,Georgia,12,714325
399,Florida,23,712571
400,Illinois,18,711093
401,Maryland,8,709296
402,Texas,30,708712
403,Pennsylvania,18,703183
404,North Carolina,12,702201
405,Nebraska,3,700296
406,California,49,699641
407,Washington,9,696345
408,Louisiana,7,691321
409,New York,28,691204
410,Ohio,17,689683
411,Alabama,7,688367
412,Michigan,15,687017
413,Arizona,8,686953
414,California,50,685506
415,Texas,31,685469
416,Florida,24,682235
417,Virginia,11,677025
418,New Jersey,13,674488
419,Illinois,19,672626
420,California,51,671930
421,Tennessee,9,671756
422,Massachusetts,10,669936
423,New York,29,666944
424,Colorado,7,665338
425,Pennsylvania,19,665144
426,Texas,32,663702
427,Missouri,9,660704
428,California,52,658882
429,Minnesota,8,658220
430,Georgia,13,657084
431,Iowa,5,655598
432,Florida,25,654377
433,Ohio,18,650239
434,California,53,646330
435,North Carolina,13,645931
436,Utah,4,645684
437,New York,30,644329
438,Texas,33,643276
439,Michigan,16,642646
440,Indiana,10,642025
