house_seat,state,state_seat,priority_value
51,California,2,23992697
52,Texas,2,14781356
53,California,3,13852190
54,New York,2,13438545
55,Florida,2,11334137
56,California,4,9794978
57,Illinois,2,8795731
58,Pennsylvania,2,8697887
59,Texas,3,8534020
60,Ohio,2,8043014
61,New York,3,7758748
62,California,5,7587157
63,Michigan,2,7039834
64,Florida,3,6543767
65,California,6,6194888
66,Texas,4,6034463
67,New Jersey,2,5956918
68,Georgia,2,5803208
69,North Carolina,2,5704706
70,New York,4,5486263
71,California,7,5235636
72,Illinois,3,5078218
73,Pennsylvania,3,5021727
74,Virginia,2,5020955
75,Texas,5,4674275
76,Ohio,3,4643637
77,Florida,4,4627142
78,California,8,4534194
79,Massachusetts,2,4494065
80,Indiana,2,4306833
81,New York,5,4249641
82,Washington,2,4178071
83,Michigan,3,4064450
84,Tennessee,2,4030535
85,California,9,3998783
86,Missouri,2,3964224
87,Texas,6,3816530
88,Wisconsin,2,3798019
89,Maryland,2,3753242
90,Arizona,2,3635012
91,Illinois,4,3590842
92,Florida,5,3584169
93,California,10,3576620
94,Pennsylvania,4,3550898
95,Minnesota,2,3482975
96,New York,6,3469817
97,New Jersey,3,3439228
98,Georgia,3,3350484
99,North Carolina,3,3293614
100,Ohio,4,3283547
101,California,11,3235175
102,Texas,7,3225556
103,Louisiana,2,3168030
104,Alabama,2,3154495
105,Colorado,2,3048961
106,California,12,2953297
107,New York,7,2932531
108,Florida,6,2926462
109,Virginia,3,2898849
110,Michigan,4,2874000
111,Kentucky,2,2863380
112,South Carolina,2,2846148
113,Texas,8,2793414
114,Illinois,5,2781454
115,Pennsylvania,5,2750513
116,California,13,2716638
117,Massachusetts,3,2594650
118,Ohio,5,2543424
119,New York,8,2539646
120,California,14,2515118
121,Indiana,3,2486551
122,Florida,7,2473311
123,Texas,9,2463559
124,Oklahoma,2,2445754
125,New Jersey,4,2431902
126,Oregon,2,2424346
127,Washington,3,2412210
128,Connecticut,2,2410905
129,Georgia,4,2369150
130,California,15,2341448
131,North Carolina,4,2328937
132,Tennessee,3,2327030
133,Missouri,3,2288746
134,Illinois,6,2271048
135,Pennsylvania,6,2245785
136,New York,9,2239758
137,Michigan,5,2226191
138,Texas,10,2203474
139,Wisconsin,3,2192787
140,California,16,2190224
141,Maryland,3,2166935
142,Florida,8,2141951
143,Arizona,3,2098675
144,Ohio,6,2076697
145,Iowa,2,2073183
146,California,17,2057357
147,Virginia,4,2049796
148,Mississippi,2,2017324
149,Minnesota,3,2010896
150,New York,10,2003300
151,Texas,11,1993118
152,California,18,1939695
153,Illinois,7,1919386
154,Kansas,2,1904821
155,Pennsylvania,7,1898035
156,Arkansas,2,1894857
157,Florida,9,1889023
158,New Jersey,5,1883743
159,Georgia,5,1835135
160,California,19,1834767
161,Massachusetts,4,1834694
162,Louisiana,3,1829063
163,Alabama,3,1821249
164,Texas,12,1819459
165,Michigan,6,1817677
166,New York,11,1812053
167,North Carolina,5,1803987
168,Colorado,3,1760318
169,Indiana,4,1758257
170,Ohio,7,1755130
171,California,20,1740613
172,Washington,4,1705690
173,Florida,10,1689593
174,Texas,13,1673659
175,Illinois,8,1662237
176,California,21,1655653
177,New York,12,1654171
178,Kentucky,3,1653173
179,Tennessee,4,1645459
180,Pennsylvania,8,1643746
181,South Carolina,3,1643224
182,Missouri,4,1618388
183,Virginia,5,1587765
184,Utah,2,1581596
185,California,22,1578604
186,Wisconsin,4,1550535
187,Texas,14,1549507
188,New Jersey,6,1538070
189,Michigan,7,1536218
190,Maryland,4,1532255
191,Florida,11,1528295
192,New York,13,1521616
193,Ohio,8,1519987
194,California,23,1508408
195,Georgia,6,1498382
196,Arizona,4,1483987
197,North Carolina,6,1472949
198,Illinois,9,1465955
