house_seat,state,state_seat,priority_value
305,Arizona,5,822422
306,California,37,817590
307,New Jersey,10,816778
308,Michigan,12,811966
309,Ohio,14,807022
310,Massachusetts,8,805666
311,Iowa,4,804660
312,New York,23,802176
313,Minnesota,6,800958
314,California,38,795784
315,Texas,22,793694
316,Missouri,7,792780
317,Illinois,15,791276
318,Hawaii,2,788618
319,Florida,17,788445
320,New Hampshire,2,787657
321,North Carolina,9,784609
322,South Carolina,5,783900
323,California,39,775111
324,Louisiana,6,773789
325,Pennsylvania,16,769737
326,New York,24,768025
327,Georgia,9,767025
328,Texas,23,758401
329,Wisconsin,7,757127
330,Tennessee,7,755568
331,California,40,755485
332,Washington,7,754226
333,Ohio,15,751297
334,Michigan,13,746900
335,Mississippi,4,746642
336,Indiana,8,743551
337,Florida,18,743353
338,Alabama,6,741727
339,Maryland,7,740443
340,Illinois,16,740171
341,Colorado,5,739672
342,New Jersey,11,738803
343,Connecticut,5,736934
344,California,41,736828
345,New York,25,736664
346,West Virginia,3,735510
347,Virginia,9,732630
348,Texas,24,726114
349,Pennsylvania,17,723042
350,California,42,719070
351,Kansas,4,717531
352,Idaho,2,715582
353,Rhode Island,2,711338
354,Massachusetts,9,710530
355,New York,26,707764
356,Oklahoma,5,706062
357,Utah,3,705365
358,Florida,19,703141
359,Ohio,16,702774
360,California,43,702149
361,North Carolina,10,701776
362,Texas,25,696464
363,Illinois,17,695270
364,Michigan,14,691495
365,Missouri,8,686568
366,Georgia,10,686048
367,California,44,686005
368,Arkansas,4,681920
369,Pennsylvania,18,681690
370,New York,27,681046
371,Minnesota,7,676933
372,Kentucky,6,675336
373,New Jersey,12,674432
374,Arizona,6,671505
375,California,45,670587
376,Texas,26,669141
377,Florida,20,667058
378,Ohio,17,660141
379,New York,28,656272
380,California,46,655847
381,Indiana,9,655751
382,Wisconsin,8,655691
383,Illinois,18,655507
384,Virginia,10,655284
385,Tennessee,8,654341
386,Louisiana,7,653971
387,Washington,8,653179
388,Nebraska,3,646917
389,Pennsylvania,19,644814
390,Texas,27,643881
391,Michigan,15,643747
392,California,47,641741
393,Maryland,8,641243
394,South Carolina,6,640052
395,Oregon,5,638114
396,Massachusetts,10,635518
397,North Carolina,11,634780
398,Florida,21,634499
399,New York,29,633238
400,California,48,628230
401,Alabama,7,626874
402,Iowa,5,623287
403,Ohio,18,622387
404,New Mexico,3,621264
405,Georgia,11,620553
406,Texas,28,620459
407,New Jersey,13,620387
408,Illinois,19,620047
409,California,49,615275
410,New York,30,611766
411,Pennsylvania,20,611725
412,Missouri,9,605496
413,Florida,22,604971
414,Colorado,6,603939
415,California,50,602844
416,Michigan,16,602170
417,Connecticut,6,601704
418,Texas,29,598682
419,Virginia,11,592727
420,New York,31,591703
421,California,51,590905
422,Ohio,19,588719
423,Illinois,20,588228
424,Indiana,10,586521
425,Minnesota,8,586241
426,Pennsylvania,21,581866
427,North Carolina,12,579472
428,California,52,579430
429,Texas,30,578382
430,Mississippi,5,578346
431,Wisconsin,9,578265
432,Florida,23,578070
433,Tennessee,9,577075
434,Oklahoma,6,576497
435,Washington,9,576049
436,Massachusetts,11,574847
437,New Jersey,14,574367
438,New York,32,572914
439,Kentucky,7,570763
440,California,53,568392
